Филевский парк,Единая Россия,Лакенская Есения Ярославовна
Филевский парк,Мой район,Лубский Владимир Александрович
Филевский парк,Мой район,Мельников Алексей Юрьевич
Филевский парк,Единая Россия,Саржанов Илья Витальевич
Филевский парк,Единая Россия,Селезнев Илья Петрович
Филевский парк,Яблоко,Солдаткин Сергей Викторович
Филевский парк,Единая Россия,Хаванова Джамиля Юрьевна
Филевский парк,Единая Россия,Чистякова Татьяна Александровна
Филевский парк,Мой район,Чуков Азамат Раджабович
Фили-Давыдково,Единая Россия,Адам Василий Иванович
Фили-Давыдково,Новые люди,Арсентьев Андрей Александрович
Фили-Давыдково,СРЗП,Байнова Мария Сергеевна
Фили-Давыдково,Единая Россия,Барыкин Александр Александрович
Фили-Давыдково,Мой район,Бутенко Александр Геннадиевич
Фили-Давыдково,СРЗП,Быхалова Татьяна Александровна
Фили-Давыдково,Самовыдвижение,Васильев Дмитрий Александрович
Фили-Давыдково,Единая Россия,Горшкова Ольга Александровна
Фили-Давыдково,КПРФ,Зарецкий Антон Денисович
Фили-Давыдково,КПРФ,Зуев Макар Олегович
Фили-Давыдково,Мой район,Клишина Марина Юрьевна
Фили-Давыдково,КПРФ,Комаровских Евгений Александрович
Фили-Давыдково,СРЗП,Ларичев Андрей Викторович
Фили-Давыдково,КПРФ,Макаренко Татьяна Николаевна
Фили-Давыдково,СРЗП,Митина Инна Владимировна
Фили-Давыдково,Единая Россия,Огурцова Анна Владимировна
Фили-Давыдково,Единая Россия,Осипян Карен Кароевич
Фили-Давыдково,Новые люди,Павлова Марина Викторовна
Фили-Давыдково,КПРФ,Староверов Андрей Леонидович
Фили-Давыдково,Новые люди,Царев Лев Игоревич
Фили-Давыдково,Новые люди,Шпак Елена Владимировна
Фили-Давыдково,СРЗП,Шпак Сергей Борисович
Фили-Давыдково,КПРФ,Аистов Геннадий Николаевич
Фили-Давыдково,Новые люди,Балабешко Юлия Александровна
Фили-Давыдково,СРЗП,Безруков Антон Викторович
Фили-Давыдково,Новые люди,Бойко Ольга Александровна
Фили-Давыдково,КПРФ,Веселков Александр Сергеевич
Фили-Давыдково,Единая Россия,Карпова Лариса Ивановна
Фили-Давыдково,Единая Россия,Карпушина Елена Васильевна
Фили-Давыдково,Единая Россия,Коновалова Мария Дмитриевна
Фили-Давыдково,СРЗП,Кравченко Анатолий Васильевич
Фили-Давыдково,КПРФ,Кроликов Михаил Васильевич
Фили-Давыдково,Мой район,Люков Владимир Гаврилович
Фили-Давыдково,Единая Россия,Мальчевская Ирина Витальевна
Фили-Давыдково,Единая Россия,Никитина Нина Ивановна
Фили-Давыдково,СРЗП,Строганова Ангелина Александровна
Фили-Давыдково,Яблоко,Тупикин Дмитрий Васильевич
Фили-Давыдково,КПРФ,Фролова Ольга Викторовна
Фили-Давыдково,Яблоко,Хмель Роман Олегович
Фили-Давыдково,Мой район,Хрол Людмила Леонидовна
Фили-Давыдково,Новые люди,Щербаков Антон Валерьевич
Хамовники,Единая Россия,Алимова Татьяна Григорьевна
Хамовники,Яблоко,Байдакова Майя Николаевна
Хамовники,Единая Россия,Богатенков Владимир Васильевич
Хамовники,Единая Россия,Васильев Алексей Алексеевич
Хамовники,Яблоко,Гафуров Ярослав Маратович
Хамовники,Новые люди,Давидов Анар Рафаилович
Хамовники,КПРФ,Долгополов Олег Анатольевич
Хамовники,Новые люди,Жорова София Игоревна
Хамовники,КПРФ,Жуков Константин Евгеньевич
Хамовники,Новые люди,Карцева Елена Юрьевна
Хамовники,КПРФ,Кустова Ирина Алексеевна
Хамовники,Яблоко,Лапина Нина Евгеньевна
Хамовники,КПРФ,Молчанов Дмитрий Юрьевич
Хамовники,Единая Россия,Робинов Олег Юрьевич
Хамовники,Яблоко,Синельников Сергей Иванович
Хамовники,Единая Россия,Старшинов Михаил Владимирович
Хамовники,Новые люди,Усов Данил Владимирович
Хамовники,КПРФ,Чемерис Кристина Александровна
Хамовники,Яблоко,Бочаров Евгений Николаевич
Хамовники,КПРФ,Бурцев Олег Валерьевич
Хамовники,Яблоко,Гафурова Диана Денисовна
Хамовники,Новые люди,Дедюхина Анастасия Владимировна
Хамовники,Единая Россия,Исаченков Павел Викторович
Хамовники,Яблоко,Касьян Николай Алексеевич
Хамовники,Единая Россия,Каткова Анна Павловна
Хамовники,КПРФ,Козлов Иван Витальевич
Хамовники,Яблоко,Ложникова Маргарита Тимофеевна
Хамовники,КПРФ,Мельник Леонид Алексеевич
Хамовники,Единая Россия,Пахомов Владимир Николаевич
Хамовники,Единая Россия,Пешков Николай Андреевич
Хамовники,СРЗП,Пятых Арина Александровна
Хамовники,Новые люди,Серегина Елена Владимировна
Хамовники,Единая Россия,Сыромятников Алексей Юрьевич
Хамовники,КПРФ,Чекулин Никита Никитович
Хамовники,КПРФ,Чечурин Никита Андреевич
Хамовники,Новые люди,Шмелев Станислав Сергеевич
Хамовники,Новые люди,Алексеев Владимир Олегович
Хамовники,Единая Россия,Березкин Юрий Константинович
Хамовники,КПРФ,Богомолов Леонид Викторович
Хамовники,Единая Россия,Вагурина Анна Сергеевна
Хамовники,КПРФ,Воронков Андрей Олегович
Хамовники,Единая Россия,Головко Андрей Васильевич
Хамовники,Новые люди,Евтянова Дарья Вячеславовна
Хамовники,Яблоко,Калитвинов Алексей Анатольевич
Хамовники,Новые люди,Калмыков Ильяс Шиазатович
Хамовники,Яблоко,Касимова Татьяна Леонидовна
Хамовники,СРЗП,Ковалевская Инна Олеговна
Хамовники,КПРФ,Краснопеев Геннадий Алексеевич
Хамовники,КПРФ,Лунёва Наталья Алексеевна
Хамовники,Единая Россия,Людэ Елена Анатольевна
Хамовники,Яблоко,Мелькумов Александр Александрович
Хамовники,Новые люди,Мельников Захар Георгиевич
Хамовники,Яблоко,Муратшин Артур Рифович
Хамовники,Единая Россия,Спирина Наталия Владимировна
Хамовники,Яблоко,Тихомиров Илья Анатольевич
Хамовники,КПРФ,Чекулина Серафима Вячеславовна
Ховрино,КПРФ,Ахундов Фарид Айдынович
Ховрино,Единая Россия,Боброва Елена Николаевна
Ховрино,Единая Россия,Володина Татьяна Владимировна
Ховрино,Яблоко,Груйич Владо Синишович
Ховрино,КПРФ,Зацепа Иван Викторович
Ховрино,Новые люди,Ильин Владимир Васильевич
Ховрино,Мой район,Качала Игорь Юрьевич
Ховрино,КПРФ,Климушин Сергей Николаевич
Ховрино,Новые люди,Логинова Елена Ивановна
Ховрино,Новые люди,Мякишев Руслан Викторович
Ховрино,Яблоко,Росс Марина Николаевна
Ховрино,Единая Россия,Сатеева Мария Анатольевна
Ховрино,Субъект выдвижения неизвестен,Свиридова Елена Юрьевна
Ховрино,Единая Россия,Сильвоник Марина Владимировна
Ховрино,СРЗП,Тараканов Алексей Юрьевич
Ховрино,КПРФ,Трощенко Александр Борисович
Ховрино,Единая Россия,Белова Наталья Владимировна
Ховрино,СРЗП,Васильева Любовь Николаевна
Ховрино,Новые люди,Витчинов Николай Сергеевич
Ховрино,Новые люди,Волков Алексей Владимирович
Ховрино,Единая Россия,Годовикова Ирина Ивановна
Ховрино,Единая Россия,Кузнецова Марина Валентиновна
Ховрино,КПРФ,Логинов Константин Николаевич
Ховрино,КПРФ,Пушкин Александр Александрович
Ховрино,КПРФ,Рудник Максим Александрович
Ховрино,Единая Россия,Сваровски Екатерина Евгеньевна
Ховрино,КПРФ,Сергеенков Андрей Владимирович
Ховрино,СРЗП,Шепелев Георгий Иванович
Ховрино,КПРФ,Гречкин Игорь Георгиевич
Ховрино,Единая Россия,Дегтярева Нина Борисовна
Ховрино,Новые люди,Ибрагимов Александр Саярович
Ховрино,Единая Россия,Ивашкин Константин Артурович
Ховрино,Единая Россия,Кимсанова Сюзанна Анатольевна
Ховрино,КПРФ,Кузнецов Василий Николаевич
Ховрино,СРЗП,Куликов Алексей Валерьевич
Ховрино,Единая Россия,Курчаткина Ирина Евгеньевна
Ховрино,СРЗП,Миронова Людмила Александровна
Ховрино,Новые люди,Хило Алексей Юрьевич
Ховрино,КПРФ,Чебанов Дмитрий Юрьевич
Ховрино,КПРФ,Шишкина Наталья Михайловна
Хорошево-Мневники,Единая Россия,Агамов Загир Хадирович
Хорошево-Мневники,Единая Россия,Белоус Ирина Викторовна
Хорошево-Мневники,КПРФ,Бородулин Вячеслав Владимирович
Хорошево-Мневники,КПРФ,Братусь Дмитрий Валерьевич
Хорошево-Мневники,Новые люди,Кияница Елена Александровна
Хорошево-Мневники,Единая Россия,Колесов Игорь Витальевич
Хорошево-Мневники,Новые люди,Колтунов Дмитрий Михайлович
Хорошево-Мневники,КПРФ,Лисенков Александр Александрович
Хорошево-Мневники,СРЗП,Лобах Эрик Наэльевич
Хорошево-Мневники,КПРФ,Логацкая Татьяна Михайловна
Хорошево-Мневники,СРЗП,Никитин Виктор Александрович
Хорошево-Мневники,Единая Россия,Селькин Евгений Анатольевич
Хорошево-Мневники,Яблоко,Сорокин Илья Анатольевич
Хорошево-Мневники,Единая Россия,Царькова Ирина Анатольевна
Хорошево-Мневники,Яблоко,Аксенова Виктория Валентиновна
Хорошево-Мневники,Новые люди,Бандурин Михаил Александрович
Хорошево-Мневники,СРЗП,Белая Татьяна Александровна
Хорошево-Мневники,КПРФ,Бородулин Сергей Вячеславович
Хорошево-Мневники,СРЗП,Бохан Алексей Михайлович
Хорошево-Мневники,Единая Россия,Зайцева Анна Анатольевна
Хорошево-Мневники,Единая Россия,Коротина Марина Сергеевна
Хорошево-Мневники,Яблоко,Кочетков Алексей Иванович
Хорошево-Мневники,Единая Россия,Ледовская Татьяна Леонидовна
Хорошево-Мневники,Новые люди,Максимова Анна Михайловна
Хорошево-Мневники,Единая Россия,Наумова Нина Михайловна
Хорошево-Мневники,СРЗП,Никитина Валентина Алексеевна
Хорошево-Мневники,КПРФ,Потапченко Федор Дмитриевич
Хорошево-Мневники,Новые люди,Сабри Владимир Владимирович
Хорошево-Мневники,КПРФ,Сладкова Марина Евгеньевна
Хорошево-Мневники,Яблоко,Туманов Михаил Викторович
Хорошево-Мневники,Единая Россия,Шорина Тамара Борисовна
Хорошево-Мневники,Яблоко,Барышев Роман Игоревич
Хорошево-Мневники,СРЗП,Гизо Татьяна Кирилловна
Хорошево-Мневники,Единая Россия,Житенев Андрей Геннадиевич
Хорошево-Мневники,Единая Россия,Жулин Антон Геннадьевич
Хорошево-Мневники,Новые люди,Карасева Марина Георгиевна
Хорошево-Мневники,Единая Россия,Королев Павел Владимирович
Хорошево-Мневники,СРЗП,Липин Игорь Дмитриевич
Хорошево-Мневники,Новые люди,Ломовских Алина Владимировна
Хорошево-Мневники,СРЗП,Панов Алексей Владимирович
Хорошево-Мневники,КПРФ,Покаместова Людмила Алексеевна
Хорошево-Мневники,Единая Россия,Попков Михаил Александрович
Хорошево-Мневники,Единая Россия,Рубан Владимир Иванович
Хорошево-Мневники,Новые люди,Сазонова Екатерина Андреевна
Хорошево-Мневники,СРЗП,Световидов Дмитрий Евгеньевич
Хорошево-Мневники,Новые люди,Сеничев Андрей Александрович
Хорошево-Мневники,КПРФ,Табачникова Анна Валерьевна
Хорошево-Мневники,СРЗП,Юрчук Андрей Владимирович
Хорошевский,Новые люди,Аверченко Алексей Владимирович
Хорошевский,Единая Россия,Адамская Любовь Владимировна
Хорошевский,Единая Россия,Беляев Александр Сергеевич
Хорошевский,КПРФ,Бычкова Татьяна Васильевна
Хорошевский,СРЗП,Волков Григорий Анатольевич
Хорошевский,КПРФ,Герасимов Юрий Константинович
Хорошевский,КПРФ,Гмир Андрей Анатольевич
Хорошевский,Единая Россия,Горбунцова Наталья Борисовна
Хорошевский,КПРФ,Зотов Матвей Антонович
Хорошевский,Единая Россия,Зубрилова Галина Владимировна
Хорошевский,Новые люди,Логинов Сергей Андреевич
Хорошевский,СРЗП,Марголин Илья Михайлович
Хорошевский,СРЗП,Поняхин Кирилл Сергеевич
Хорошевский,КПРФ,Степанов Петр Евгеньевич
Хорошевский,Единая Россия,Шарина Наталия Евгеньевна
Хорошевский,КПРФ,Астахов Алексей Борисович
Хорошевский,Самовыдвижение,Баринов Иван Борисович
Хорошевский,Единая Россия,Беляев Олег Алексеевич
Хорошевский,Единая Россия,Бохонская Инесса Евгеньевна
Хорошевский,Единая Россия,Глухов Станислав Михайлович
Хорошевский,КПРФ,Заец Александр Николаевич
Хорошевский,Единая Россия,Ищенко Александр Николаевич
Хорошевский,Единая Россия,Клочков Рустам Александрович
Хорошевский,СРЗП,Кубанов Александр Николаевич
Хорошевский,КПРФ,Липилина Галина Николаевна
Хорошевский,Яблоко,Лобонок Анна Леонидовна
Хорошевский,КПРФ,Овраменко Александр Иванович
Хорошевский,СРЗП,Орехов Дмитрий Альбертович
Хорошевский,Новые люди,Павловская Галина Константиновна
Хорошевский,Новые люди,Трофименко Анна Павловна
Хорошевский,Новые люди,Фельде Марина Юрьевна
Хорошевский,СРЗП,Шалимова Надежда Валерьевна
Хорошевский,КПРФ,Шведова Ольга Павловна
Хорошевский,Субъект выдвижения неизвестен,Иванов Дмитрий
Хорошевский,Субъект выдвижения неизвестен,Хицкова Ольга Михайловна
Царицыно,СРЗП,Андросова Ирина Борисовна
Царицыно,Единая Россия,Булатов Александр Александрович
Царицыно,Единая Россия,Видутина Оксана Вячеславовна
Царицыно,Новые люди,Гришиневская Елена Сергеевна
Царицыно,Единая Россия,Нуйкина Карина Вячеславовна
Царицыно,Единая Россия,Рубцова Елена Андреевна
Царицыно,Единая Россия,Тишкова Елена Алексеевна
Царицыно,СРЗП,Фокина Светлана Леонидовна
Царицыно,СРЗП,Бянкина Анна Владимировна
Царицыно,Единая Россия,Гаврилина Мария Сергеевна
Царицыно,КПРФ,Доронькин Максим Владимирович
Царицыно,Новые люди,Иванов Егор Алексеевич
Царицыно,КПРФ,Лозовой Александр Валентинович
Царицыно,КПРФ,Мамонов Виталий Викторович
Царицыно,СРЗП,Михайлов Игорь Александрович
Царицыно,КПРФ,Помозов Петр Анатольевич
Царицыно,СРЗП,Сабитова Ксения Олеговна
Царицыно,КПРФ,Ткачев Денис Евгеньевич
Царицыно,Единая Россия,Тютюнникова Екатерина Владимировна
Царицыно,Единая Россия,Хлестов Дмитрий Владимирович
Царицыно,Единая Россия,Шабашева Наталья Викторовна
Царицыно,Единая Россия,Шмакова Ольга Сергеевна
Черемушки,Единая Россия,Бедник Евгений Иванович
Черемушки,КПРФ,Ваганов Дмитрий Юрьевич
Черемушки,СРЗП,Дмитриев Евгений Витальевич
Черемушки,КПРФ,Елагин Сергей Александрович
Черемушки,СРЗП,Каширский Алексей Сергеевич
Черемушки,КПРФ,Красий Александр Витальевич
Черемушки,Единая Россия,Минаева Екатерина Васильевна
Черемушки,Единая Россия,Михайлов Олег Владимирович
Черемушки,Единая Россия,Мухаметдинова Юлия Артуровна
Черемушки,КПРФ,Нодиниан Галина Владимировна
Черемушки,Новые люди,Репетей Егор Юрьевич
Черемушки,Яблоко,Старков Михаил Романович
Черемушки,Единая Россия,Журбенко Виктория Николаевна
Черемушки,СРЗП,Кумыш Марина Евгеньевна
Черемушки,Единая Россия,Лаврикова Валентина Ивановна
Черемушки,Единая Россия,Минаева Екатерина Александровна
Черемушки,Мой район,Назарова Юлия Владимировна
Черемушки,СРЗП,Омельченко Эдуард Викторович
Черемушки,Единая Россия,Павлик Светлана Владимировна
Черемушки,КПРФ,Петров Георгий Валерьевич
Черемушки,КПРФ,Синебрюхов Сергей Алексеевич
Черемушки,Единая Россия,Ботина Ирина Владимировна
Черемушки,Единая Россия,Васильева Инна Николаевна
Черемушки,Единая Россия,Волгина Елена Викторовна
Черемушки,Единая Россия,Зеленецкая Алла Викторовна
Черемушки,КПРФ,Панферов Валентин Павлович
Черемушки,КПРФ,Рогачев Сергей Александрович
Черемушки,КПРФ,Садеков Леонид Борисович
Черемушки,КПРФ,Селькова Елена Андреевна
Черемушки,Новые люди,Усольцев Александр Юрьевич
Чертаново Северное,Единая Россия,Абрамова Елена Ивановна
Чертаново Северное,Единая Россия,Горбачёв Антон Сергеевич
Чертаново Северное,Единая Россия,Курапов Петр Геннадьевич
Чертаново Северное,Яблоко,Лавров Алексей Николаевич
Чертаново Северное,КПРФ,Лиходькин Владимир Юрьевич
Чертаново Северное,КПРФ,Мозгунов Данил Вячеславович
Чертаново Северное,Единая Россия,Морозова Ирина Викторовна
Чертаново Северное,КПРФ,Павлов Ангел Георгиев
Чертаново Северное,КПРФ,Русаков Александр Дмитриевич
Чертаново Северное,СРЗП,Рябикин Евгений Александрович
Чертаново Северное,Самовыдвижение,Самсонов Сергей Владимирович
Чертаново Северное,Единая Россия,Смирнов Валерий Николаевич
Чертаново Северное,КПРФ,Шелепень Виталий Дмитриевич
Чертаново Северное,СРЗП,Штраус Алексей Сергеевич
Чертаново Северное,КПРФ,Аблисимов Петр Вячеславович
Чертаново Северное,Единая Россия,Андреева Светлана Александровна
Чертаново Северное,Новые люди,Бельгибаев Артур Болатович
Чертаново Северное,КПРФ,Волкова Елена Сергеевна
Чертаново Северное,Новые люди,Глебов Денис Сергеевич
Чертаново Северное,Новые люди,Костяева Юлия Дмитриевна
Чертаново Северное,Единая Россия,Лукоянов Алексей Александрович
Чертаново Северное,КПРФ,Морозов Данила Андреевич
Чертаново Северное,Единая Россия,Морозов Максим Александрович
Чертаново Северное,КПРФ,Раков Михаил Юрьевич
Чертаново Северное,Единая Россия,Ряхмятуллина Алла Рафековна
Чертаново Северное,Единая Россия,Тозик Александр Михайлович
Чертаново Северное,КПРФ,Туровец Сергей Васильевич
Чертаново Северное,Самовыдвижение,Чечулин Илья Александрович
Чертаново Центральное,СРЗП,Белова Светлана Владимировна
Чертаново Центральное,Новые люди,Бочков Кирилл Алексеевич
Чертаново Центральное,Единая Россия,Коношенко Богдан Александрович
Чертаново Центральное,Единая Россия,Ларионова Евгения Иосифовна 
Чертаново Центральное,Единая Россия,Полозов Сергей Андреевич
Чертаново Центральное,Единая Россия,Родина Ирина Алексеевна
Чертаново Центральное,Единая Россия,Смитиенко Степан Борисович
Чертаново Центральное,СРЗП,Чернов Даниил Игоревич
Чертаново Центральное,СРЗП,Бизяев Егор Владимирович
Чертаново Центральное,Новые люди,Велибеков Магомед Джавадбекович
Чертаново Центральное,КПРФ,Жезлов Игорь Сергеевич
Чертаново Центральное,Единая Россия,Мелешин Василий Владимирович
Чертаново Центральное,Единая Россия,Миронов Дмитрий Павлович
Чертаново Центральное,Единая Россия,Репкина Елена Владимировна
Чертаново Центральное,Единая Россия,Рыбакова Евгения Валентиновна
Чертаново Центральное,КПРФ,Семенцов Виктор Михайлович
Чертаново Центральное,Единая Россия,Шиндряева Наталья Николаевна
Чертаново Центральное,Субъект выдвижения неизвестен,Шищенко Павел
Чертаново Южное,КПРФ,Бирюков Василий Владимирович
Чертаново Южное,Новые люди,Гуськов Антон Алексеевич
Чертаново Южное,Новые люди,Донец Алина Олеговна
Чертаново Южное,Самовыдвижение,Земляной Сергей Васильевич
Чертаново Южное,Единая Россия,Зотова Маргарита Сергеевна
Чертаново Южное,Единая Россия,Кашлев Сергей Николаевич
Чертаново Южное,КПРФ,Косов Сергей Александрович
Чертаново Южное,Единая Россия,Кураш Ирина Анатольевна
Чертаново Южное,Самовыдвижение,Лукашук Константин Александрович
Чертаново Южное,СРЗП,Максименко Сергей Валерьевич
Чертаново Южное,СРЗП,Меротинцев Роман Александрович
Чертаново Южное,Единая Россия,Новиков Александр Анатольевич
Чертаново Южное,КПРФ,Павлов Петр Александрович
Чертаново Южное,Единая Россия,Птушкина Наталья Александровна
Чертаново Южное,Новые люди,Сазонов Андрей Борисович
Чертаново Южное,Новые люди,Сорокина Ирина Игоревна
Чертаново Южное,КПРФ,Цыбизова Людмила Андреевна
Чертаново Южное,КПРФ,Бисеров Вилис Анварович
Чертаново Южное,Единая Россия,Бордовская Ольга Геннадьевна
Чертаново Южное,Единая Россия,Гунина Екатерина Алексеевна
Чертаново Южное,Единая Россия,Леонова Наталья Александровна
Чертаново Южное,Единая Россия,Маркова Татьяна Владимировна
Чертаново Южное,Новые люди,Миронов Виталий Анатольевич
Чертаново Южное,СРЗП,Мишуто Алексей Сергеевич
Чертаново Южное,Единая Россия,Смирнова Елена Владимировна
Южное Бутово,Самовыдвижение,Алексеева Валерия Геннадьевна
Южное Бутово,Самовыдвижение,Бахтинов Игорь Витальевич
Южное Бутово,Единая Россия,Беглярова Седа Виленовна
Южное Бутово,КПРФ,Воробьев Владислав Владимирович
Южное Бутово,Единая Россия,Зерниченко Лариса Евгеньевна
Южное Бутово,Новые люди,Копырин Денис Андреевич
Южное Бутово,Единая Россия,Мерзликина Ираида Николаевна
Южное Бутово,КПРФ,Печенкина Людмила Юрьевна
Южное Бутово,Единая Россия,Постникова Анна Львовна
Южное Бутово,СРЗП,Ставровский Кирилл Михайлович
Южное Бутово,Единая Россия,Егорова Любовь Николаевна
Южное Бутово,Самовыдвижение,Иванцова Ольга Николаевна
Южное Бутово,Единая Россия,Когинова Наталия Владимировна
Южное Бутово,Единая Россия,Матиевич Александр Аркадьевич
Южное Бутово,СРЗП,Нечаев Владислав Михайлович
Южное Бутово,Единая Россия,Осенняя Елена Викторовна
Южное Бутово,СРЗП,Файзуллина Ильнура Ибрагимовна
Южное Бутово,Новые люди,Челмодеева Оксана Николаевна
Южное Бутово,Самовыдвижение,Швадченко Вадим Витальевич
Южное Бутово,КПРФ,Агафонов Всеволод Владимирович
Южное Бутово,КПРФ,Амбарян Рудольф Эдуардович
Южное Бутово,Единая Россия,Гесслер Дмитрий Михайлович
Южное Бутово,Единая Россия,Голубцов Павел Викторович
Южное Бутово,Новые люди,Катаев Виталий Игоревич
Южное Бутово,КПРФ,Кутовой Виталий Евгеньевич
Южное Бутово,КПРФ,Матвеев Михаил Михайлович
Южное Бутово,Новые люди,Равдин Владимир Андреевич
Южное Бутово,Самовыдвижение,Саберов Владимир Алексеевич
Южное Бутово,Единая Россия,Тимофеева Ольга Николаевна
Южное Бутово,СРЗП,Чередниченко Артур Игоревич
Южное Бутово,Новые люди,Шатров Максим Александрович
Южное Бутово,Единая Россия,Якубина Екатерина Анатольевна
Южное Бутово,Субъект выдвижения неизвестен,Райт Ольга Вячеславовна
Южное Бутово,Субъект выдвижения неизвестен,Сухоребров Даниил Геннадьевич
Южное Медведково,Единая Россия,Белых Анна Ивановна
Южное Медведково,КПРФ,Богданович Артем Александрович
Южное Медведково,Единая Россия,Гайдарова Юлия Александровна
Южное Медведково,КПРФ,Дашков Юрий Владимирович
Южное Медведково,Яблоко,Еженкова Екатерина Александровна
Южное Медведково,Единая Россия,Иванов Олег Александрович
Южное Медведково,Единая Россия,Комзолов Павел Вячеславович
Южное Медведково,Новые люди,Копичинский Владимир Федорович
Южное Медведково,КПРФ,Редин Алексей Сергеевич
Южное Медведково,Единая Россия,Рыбакова Марина Серафимовна
Южное Медведково,Самовыдвижение,Самсонов Алексей Петрович
Южное Медведково,СРЗП,Сичкарь Александр Владимирович
Южное Медведково,Яблоко,Фролов Михаил Леонидович
Южное Медведково,Новые люди,Чивелев Кирилл Александрович
Южное Медведково,Единая Россия,Дегтярева Ирина Павловна
Южное Медведково,Единая Россия,Каджаев Инал Сергеевич
Южное Медведково,КПРФ,Калеушев Денис Андреевич
Южное Медведково,Новые люди,Короткова Екатерина Валерьевна
Южное Медведково,Единая Россия,Кулешов Виктор Петрович
Южное Медведково,Единая Россия,Куприн Михаил Александрович
Южное Медведково,Единая Россия,Мартиросян Сергей Вячеславович
Южное Медведково,СРЗП,Фокина Татьяна Михайлова
Южное Тушино,СРЗП,Айгнин Рафик Мнирович
Южное Тушино,КПРФ,Власов Александр Анатольевич
Южное Тушино,Единая Россия,Воловец Светлана Альбертовна
Южное Тушино,Единая Россия,Доценко Екатерина Владимировна
Южное Тушино,СРЗП,Карпенко Артем Андреевич
Южное Тушино,Новые люди,Колотовкин Роман Вячеславович
Южное Тушино,СРЗП,Лобойко Александр Владимирович
Южное Тушино,КПРФ,Лушников Антон Анатольевич
Южное Тушино,КПРФ,Павлова Елена Анатольевна
Южное Тушино,Единая Россия,Рощин Виктор Андреевич
Южное Тушино,Единая Россия,Семученков Кирилл Юрьевич
Южное Тушино,Единая Россия,Володин Александр Владимирович
Южное Тушино,КПРФ,Жигалов Иван Алексеевич
Южное Тушино,Единая Россия,Маслова Людмила Борисовна
Южное Тушино,СРЗП,Матвеева Ольга Владимировна
Южное Тушино,Новые люди,Салин Сергей Александрович
Южное Тушино,Единая Россия,Семенов Алексей Валерьевич
Южное Тушино,Единая Россия,Францев Алексей Алексеевич
Южное Тушино,КПРФ,Чистяков Олег Викторович
Южное Тушино,КПРФ,Баландин Антон Николаевич
Южное Тушино,Новые люди,Балин Алексей Сергеевич
Южное Тушино,Единая Россия,Борисенко Лариса Борисовна
Южное Тушино,Единая Россия,Будкин Денис Юрьевич
Южное Тушино,Единая Россия,Ветчинникова Ирина Ивановна
Южное Тушино,Новые люди,Идзиковский Евгений Викторович
Южное Тушино,СРЗП,Колосков Алексей Александрович
Южное Тушино,Единая Россия,Образцов Алексей Васильевич
Южное Тушино,СРЗП,Смирнова Ольга Александровна
Южное Тушино,СРЗП,Федотов Виктор Иванович
Южное Тушино,Новые люди,Хуснутдинов Оскар Хасанович
Южнопортовый,КПРФ,Алгазин Александр Тимофеевич
Южнопортовый,Единая Россия,Белкова Инна Анатольевна
Южнопортовый,Новые люди,Гасумян Артём Александрович
Южнопортовый,КПРФ,Ершов Петр Сергеевич
Южнопортовый,СРЗП,Заволока Ольга Александровна
Южнопортовый,КПРФ,Карпов Владимир Николаевич
Южнопортовый,Единая Россия,Коваленко Алексей Николаевич
Южнопортовый,Единая Россия,Костина Татьяна Анатольевна
Южнопортовый,Единая Россия,Кувардина Наталья Григорьевна
Южнопортовый,КПРФ,Кукинова Дарья Алексеевна
Южнопортовый,Единая Россия,Назаренко Денис Владимирович
Южнопортовый,Новые люди,Петлюк Владислав Александрович
Южнопортовый,Новые люди,Рябинин Андрей Александрович
Южнопортовый,СРЗП,Скатов Максим Алексеевич
Южнопортовый,КПРФ,Штыкова Юлия Андреевна
Южнопортовый,Единая Россия,Азевич Александр Александрович
Южнопортовый,Единая Россия,Власова Ольга Владимировна
Южнопортовый,КПРФ,Исаева Марьям Магомед-Аюбовна
Южнопортовый,КПРФ,Казаринов Дмитрий Александрович
Южнопортовый,Единая Россия,Касаева Диана Альбертовна
Южнопортовый,КПРФ,Кларк Элла Николаевна
Южнопортовый,СРЗП,Краснова Юлия Александровна
Южнопортовый,КПРФ,Лютиков Эдуард Геннадьевич
Южнопортовый,Единая Россия,Плахова Алла Семеновна
Южнопортовый,Единая Россия,Пчелинцева Ольга Викторовна
Южнопортовый,КПРФ,Шуваев Виктор Викторович
Якиманка,КПРФ,Анашкин Эдуард Нуриманович
Якиманка,Единая Россия,Андреев Дмитрий Романович
Якиманка,КПРФ,Беляков Александр Витальевич
Якиманка,СРЗП,Волчанский Дмитрий Юрьевич
Якиманка,КПРФ,Кисель Александр Павлович
Якиманка,Новые люди,Ладыгин Никита Евгеньевич
Якиманка,Новые люди,Леонтьев Денис Алексеевич
Якиманка,КПРФ,Лунёв Даниил Алексеевич
Якиманка,Единая Россия,Миленин Сергей Александрович
Якиманка,Единая Россия,Нестеров Денис Анатольевич
Якиманка,Единая Россия,Осипцова Светлана Александровна
Якиманка,СРЗП,Полетаев Евгений Владимирович
Якиманка,КПРФ,Простяков Юрий Игоревич
Якиманка,Яблоко,Радионова Оксана Евгеньевна
